beer_id,beer_name,beer_type,abv,avg_rating,avg_ibu,desc,astringency,body,alcohol,bitter,sweet,sour,salty,fruits,hoppy,spices,malty
298,GPA (German Pale Ale),Altbier,5.2,3.82,37.5,"Notes:A German style pale ale debatably does not exist in the craft beer industry. Until now. 3 Nations’ German Pale Ale (GPA) is our experiment turned calling card. We couldn’t be more proud of the way this beer’s enormous citrus, passion fruit, and lemony like aromas blend with a bitterness that gives it a recognizable finish. Plus, the well-rounded malt profile balances out the American hops. That’s right, we used American hops to brew this cross of a German Alt/Koelsch. It’s not blasphemy. Just a revised version of a traditional style, with a little greatness mixed in.	",6,12,1,45,17,36,0,39,50,0,23
299,The Detroit Dwarf,Altbier,6.8,3.63,37.5,"Notes:""This beer has won a bronze, silver and gold as an Alt at the Great american beer festival, and now a silver at the world beer cup as an Alt.""	",19,57,13,42,68,25,0,29,54,12,70
300,Alternate Dimension,Altbier,5.6,3.66,37.5,Notes:,25,50,12,72,61,20,0,21,59,26,139
4201,Bigfoot,Barleywine - American,9.6,4.17,80.0,"Notes:Bigfoot is a beast of a beer, brimming with bold flavors of bittersweet malt and heaps of aggressive whole-cone Pacific Northwest hops. First introduced in the winter of 1983, Bigfoot is a cult-classic beer brewed in the barleywine style, meaning a strong, robust, bruiser of a beer with the refined intensity of a wine. Bigfoot is prized by beer collectors for its supreme cellarability. Under the proper conditions, it can age like a fine wine, developing new flavors and character as it matures in the bottle. Each new release or “expedition” is vintage dated. Collect your own and see the flavors develop and progress.	",11,47,37,88,73,31,0,46,90,0,77
4202,Third Coast Old Ale,Barleywine - American,10.2,4.13,80.0,"Notes:From Bell's website:""Third Coast Old Ale is a cellerable American-style barleywine that has notes of dried fruit and caramel embedded in a rich malt background that will grow more complex over time.""	",8,38,29,39,99,32,0,57,37,7,72
4203,Olde School Barleywine,Barleywine - American,15.0,4.02,80.0,"Notes:Bold, yet smooth! Fermented with dates and figs, this bone-crushing barleywine has a unique flavor.85 IBUABV varies from 13-16%.	",20,55,82,56,170,30,0,107,43,13,62
4204,Brewer's Reserve Bourbon Barrel Barleywine,Barleywine - American,14.3,4.33,80.0,Notes:Aged for 1 year in used bourbon barrels.	,11,65,94,40,142,25,0,63,23,27,133
4205,Old Ruffian,Barleywine - American,10.2,4.22,80.0,"Notes:Old Ruffian is a hefty, hop-forward barley wine. Seemingly mellow at the start with subtle fruit aromas and complex caramel sweetness, it quickly becomes aggressive with its bold hop flavors and huge hop bitterness. Ultimately, the big body, succulent sweetness and massive hop character come together to work wonders on your palate.	",6,55,31,107,97,27,1,57,120,14,119
4206,Old Horizontal,Barleywine - American,11.0,4.06,80.0,"Notes:Massive amounts of barley malts, combined with fresh harvest American hops make it aromatic and spicy on the nose. Floral, fruity aromas slide into honeyed malt depth with lingering sensations of candied and citrus fruit. Late warming alcohol brings all of these flavors into wonderful harmony to finish.Malt: Imported 2 row German maltsHops: Whole flower American hopsFood Pairings: Meat pies and English cheese	",9,49,45,78,83,36,1,52,97,12,117
4207,Behemoth,Barleywine - American,10.5,4.24,80.0,"Notes:A huge, sweet barleywine with complex caramel malt notes, balanced by generous hopping and a high alcohol content. This fruity and malty beer is best enjoyed while keeping warm in the brutal winter months.80 IBU2005 Bottle release - Pink Wax 2007 Bottle release - Yellow Wax, hands not skull on flat finish label (Brewed in Nov 06) 2008 Bottle release - Purple Wax 2009 Bottle release - Blue Wax2010 Bottle release - Green Wax2011 Bottle release - White Wax2011 Bottle release - Yellow Wax, glossy label, skull on label (Ohio only)2012 Bottle release - Red Wax2013 Bottle release - Orange Wax2014 Bottle release - Blue Wax2015 Bottle release - Purple Wax2016 Bottle release - Black Metallic Wax2017 Bottle release - Silver Wax	",18,71,52,90,125,72,0,101,105,24,105
4208,Olde GnarlyWine,Barleywine - American,10.9,4.09,80.0,"Notes:2011: 10.6% ABV, 69 IBU	",14,49,44,47,74,28,0,43,68,17,89
4209,Old Numbskull,Barleywine - American,11.0,4.14,80.0,Notes:,14,58,36,52,117,29,0,54,67,13,122
4210,Flying Mouflan,Barleywine - American,9.3,4.15,80.0,Notes:This strong alluring ale is two beers in one. Cracking open a fresh bottle unleashes hops and heat with more than 100 IBUs emanating from three hop varieties and sweet burn of 9.3% ABV. Cellaring the Flying Mouflan in a cool dark place at 50 degrees for a minimum of four months will mellow out the hops and wash away the heat. If you can resist temptation you will be rewarded with two memorable beers in a single bottle.	,17,74,41,66,143,38,1,78,72,11,130
4211,Bigfoot - Barrel-Aged,Barleywine - American,12.2,4.18,80.0,Notes:,7,60,74,48,82,20,0,53,50,20,92
4212,XS Old Crustacean,Barleywine - American,11.5,4.05,80.0,"Notes:Formerly ""Old Crustacean""8 Ingredients:Hugh Baird Carastan and Rogue Micro Barley Farm DareTM & RiskTM Malts; Chinook and Rogue Micro Hopyard Revolution & Freedom Hops, Pacman Yeast & Free Range Coastal Water.25º PLATO110 IBU83 AA57º Lovibond	",13,51,35,88,80,41,0,65,86,14,83
4213,Doggie Claws,Barleywine - American,11.5,4.18,80.0,"Notes:""a Barley Wine made in the West Coast style. Big malt and hops make this copper colored ale one of our most popular products. Produced in September and October and released in November, this Beer will improve for years to come. Alcohol: 11.5% by volume. IBU's 70""	",14,55,34,66,102,36,1,53,82,22,98
4214,A Deal With The Devil,Barleywine - American,17.3,4.57,80.0,Notes:Barleywine style ale brewed with Galaxy Hops. A starting gravity of 37 Plato. Aged eleven months in Cognac barrels.	,4,68,33,31,141,26,0,66,15,20,88
4215,Helldorado,Barleywine - American,12.8,4.29,80.0,"Notes:Part of the adventure of aging beer in retired spirits barrels is the synergistic interaction of different malt flavors with the oak and spirit flavors from the barrel. Darker beers like stouts and darker barley wines have typically been the favored candidates for barrel-aging, due to their deeper caramel and roasted flavors. Helldorado breaks that mold with a deep golden color from being brewed solely with English and American pale malts. The bready, honeyed flavors of pale malts pull out rich wildflower honey, vanilla and coconut notes from the oak, creating an overall flavor evocative of bourbon-glazed graham crackers that stands as singularly unique in our Vintage lineup.	",6,39,56,25,101,23,5,45,48,21,134
4216,Cockeyed Cooper,Barleywine - American,11.1,3.96,80.0,Notes:Aged in bourbon barrels.65 IBU	,12,62,66,38,52,20,0,32,42,22,103
4217,Solstice D'hiver,Barleywine - American,10.2,3.94,80.0,"Notes:This noble winter beer is brown in colour with flaming red highlights. It has a complex aroma of fruits, alcohol and hops. Its taste is delicately sweet and liquor-like with a hint of burnt caramel. It is a very bitter beer with aromas and flavours reminiscent of red fruit. The aftertaste is accentuated by the wonderful flavour of hops.	",23,54,61,70,125,33,0,54,62,22,119
4218,Anniversary Barley Wine Ale,Barleywine - American,10.4,3.87,80.0,"Notes:Rich and complex, this all malt barley wine exhibits hints of dried fruits, toffee and caramel balanced by an abundance of American hops.72 IBU	",7,47,39,64,97,27,1,46,67,2,110
4219,Barleywine Style Ale,Barleywine - American,10.9,3.9,80.0,Notes:,12,44,35,70,74,39,1,45,81,17,99
4220,Lower De Boom Barleywine,Barleywine - American,11.5,3.8,80.0,Notes:,11,60,47,67,110,73,2,120,98,6,100
4221,Killer Penguin Barleywine,Barleywine - American,10.0,3.59,80.0,"Notes:This limited, small-batch release is dark garnet red in color with a candied-fruit like aroma and flavor. At 10% ABV, Killer Penguin is a big barleywine that comes across very smooth and extremely balanced -- the perfect beer to share among friends.	",8,34,33,29,70,28,0,41,35,4,67
4222,Great,Barleywine - American,14.0,4.56,80.0,"Notes:The base of this beer was available at a couple of festivals as a barleywine named ""Good"". The remainder of the batch spent several months aging in fresh Jack Daniels barrels and became ""Great"".	",8,47,36,14,81,14,0,35,10,10,76
4223,Griffin's BowBoston Beer Company (Samuel Adams),Barleywine - American,11.5,3.56,80.0,"Notes:From the aroma and notes of sweet honeysuckle, pineapple, and grapefruit, to richer hints of burnt sugar, and toffee, this intriguing brew is full of complex flavors. The distinct character of toasted oak adds depth and contrasts the light fruit sweetness. This unique take on a barley wine ale surprises with its smoothness and balance of fruit, hop citrus, and warmth.Hops: Nelson Sauvin, ZeusMalts: Two-Row Harrington, Metcalfe, Copeland Pale, Paul’s CaramaltAged on toasted oak	",5,65,41,60,146,78,0,117,71,25,104
4224,Sisyphus,Barleywine - American,11.5,3.97,80.0,Notes:,11,68,37,80,109,67,0,83,96,5,87
4225,Gratitude,Barleywine - American,11.5,4.29,80.0,"Notes:A limited edition Barleywine Style Ale, brewed in November in the American tradition and hand packaged to specially commemorate the anniversary of the brewery each year.Gratitude Wax Colors:2005-Red Wax2006-Orange Wax2007-Yellow Wax2008-Green Wax2009-Blue Wax2010-Indigo Wax2011-no wax, blank cap (Flatitude)2012-no wax, ""12"" on cap (Flatitude)2013-Violet Wax2014 - red wax, label made to look like paper	",10,69,31,66,124,43,1,60,77,10,108
4226,Barleywine Ale,Barleywine - American,11.0,3.86,80.0,"Notes:The Duck-Rabbit Barleywine is the hoppiest of all the Duck-Rabbit brews. This is a Farmville-style Barleywine, crafted the way brewers in Farmville have always done. Loads of Amarillo hops give a piney citrusy bitterness that's supported beautifully by a toffee malt backbone.	",14,57,43,86,86,36,1,61,96,16,95
4227,The Vermonster,Barleywine - American,10.0,3.9,80.0,Notes:We brewed The Vermonster with 110 pounds of malt per barrel and jacked up the pour into a wide mouth thin glass goblet.	,34,41,29,86,50,28,0,34,114,9,83
4228,Smuttynose Barleywine Style Ale (Big Beer Series),Barleywine - American,11.6,3.99,80.0,"Notes:First brewed in England, these potent, malty monsters were frequently aged before being put into small bottles and sold as strong beers or even medicinal tonics. The American version has been blown up with more alcohol, larger bottles and more hops.Smuttynose Barleywine straddles these two branches of the barleywine tree. When you taste it, you’ll notice deep, rich caramel malt flavors, balanced with hop bitterness. Fruity hop flavors act as a garnish for its amped-up but classic flavor. For a more refined experience, tuck a few bottles away for a year or two. The alcohol will mellow and the hop aromas will fade into the background, leaving the luscious malt to shine on its own.65 IBU2007 - 11.4%2009 - 11.1%	",11,75,43,89,89,46,0,54,106,17,97
4229,Freudian Slip,Barleywine - American,10.3,3.81,80.0,"Notes:Did you also at some point in your life get seduced by promising words like ‘probably (not) the best in the world’, ‘it (doesn’t really) work every time’ etc. This American Barley Wine says it how it is. It’s intense, attention seekingly hoppy and definitely your kind of beer. A beer with a big ego, drive and a huge thirst for recognition.	",9,42,40,84,113,34,0,73,93,11,80
4230,John Barleycorn Barleywine Ale,Barleywine - American,11.4,3.78,80.0,Notes:Same recipe each year. ABV varies slightly 9.5-11.0%	,12,71,61,57,98,48,1,59,59,14,89
4231,Barrel Aged Behemoth,Barleywine - American,12.5,4.38,80.0,Notes:American barleywine aged in Woodford Reserve bourbon barrels.	,13,58,66,38,86,36,0,61,42,35,92
4232,Old Ruffian - Barrel-Aged,Barleywine - American,12.7,4.19,80.0,Notes:,18,67,94,43,134,34,0,57,53,32,132
4233,# 100,Barleywine - American,10.0,4.07,80.0,"Notes:23,5° P, 80 IBU.First brewed to celebrate the 100th batch. Ingredients: Maris Otter, wheat, and chocolate malt; Columbus, Chinook, and Centennial hops; English ale yeast, and our local Grimstad water.	",18,70,43,85,92,26,1,53,95,15,113
4234,Old Numbskull - Bourbon Barrel-Aged,Barleywine - American,11.0,4.31,80.0,"Notes:A West Coast style barleywine. A huge malt profile and a very aggressive dose of premium domestic hops give Old Numbskull a tantalizing complexity, from the aroma to the aftertaste. A year spent in bourbon barrels adds amazing depth and complexity.	",9,57,67,26,113,20,0,36,23,25,132
4235,Devil's Milk,Barleywine - American,10.0,3.86,80.0,"Notes:Our award winning barleywine will seduce you with its assertive hop bill (that changes each year to make each vintage unique), citrus flavors, and warming 10% ABV. Devil’s Milk is best served in a snifter to accommodate its ABV and allow complex flavors to emerge as it warms in your hands.	",15,73,45,78,125,80,2,122,117,9,103
4236,Big Worse,Barleywine - American,12.0,3.83,80.0,"Notes:Brewed at De Proefbrouwerij.Ingredients: Water, malt (pils and caramunich), candy sugar, hops (nugget, cascade and centennial) and ale yeast.	",14,50,58,67,137,71,0,110,79,12,114
4237,Double Or Nothing,Barleywine - American,10.5,4.02,80.0,Notes:Collaboration with Lawson's Finest LiquidsA Devilishly Sweet Barleywine aged on maple wood and brewed with a heavenly dose of Vermont maple syrup. Brewed in collaboration between Sean Lawson of Lawson's Finest Liquids & Mike Gerhart of Otter Creek Brewing Co.	,9,58,31,29,238,31,0,54,28,16,195
4238,Barrel Roll No. 4 Wing Over,Barleywine - American,13.8,4.09,80.0,Notes:Formerly Barrel Roll No. 4 Hammerhead	,9,60,79,42,92,11,0,28,38,24,137
4239,Old Boardhead Barleywine Ale,Barleywine - American,9.0,3.89,80.0,Notes:,8,47,34,41,88,33,0,31,45,11,83
4240,Chicken Killer Barley Wine,Barleywine - American,10.0,3.72,80.0,"Notes:Chicken Killer Barley Wine is the revolutionary beer that will someday define America's unique Barley Wine style. It is brewed with twice the ingredients of the Santa Fe Brewing Company's other beers, and only half the usual amount of liquid is extracted from these ingredients. This makes one substantial beer. At over ten percent alcohol, Chicken Killer is actually as substantial as wine, but this is not to say that it is difficult to drink. On the contrary; be careful with this one. The flavors of the beer are at first as overwhelming as the intense Santa Fe sun. But in the same way our sun gives us the unrivaled brilliant colors of Santa Fe, the potency of Chicken Killer gives us the remarkable spectrum of flavors that can be found in no other beer, in no other city. If you did not have the opportunity to try last year's vintage, come try this year's!	",13,41,40,61,85,38,0,47,61,4,104
